SR_NUMBER,SR_TYPE,SR_SHORT_CODE,OWNER_DEPARTMENT,STATUS,CREATED_DATE,LAST_MODIFIED_DATE,CLOSED_DATE,STREET_ADDRESS,CITY,STATE,ZIP_CODE,STREET_NUMBER,STREET_DIRECTION,STREET_NAME,STREET_TYPE,DUPLICATE,LEGACY_RECORD,LEGACY_SR_NUMBER,PARENT_SR_NUMBER,COMMUNITY_AREA,WARD,ELECTRICAL_DISTRICT,ELECTRICITY_GRID,POLICE_SECTOR,POLICE_DISTRICT,POLICE_BEAT,PRECINCT,SANITATION_DIVISION_DAYS,CREATED_HOUR,CREATED_DAY_OF_WEEK,CREATED_MONTH,X_COORDINATE,Y_COORDINATE,LATITUDE,LONGITUDE,LOCATION
SR22-00502004,Graffiti Removal Request,GRAF,Streets and Sanitation,Open,03/28/2022 1:15:08 PM,03/28/2022 1:15:09 PM,,3800 S STEWART AVE,,,60609,3800,S,STEWART,AVE,FALSE,FALSE,,,60,11,,O030,1,9,915,29,,13,2,3,1174263.624,1879703.957,41.82531728,-87.63618378,"(41.82531727715132°, -87.63618377989255°)"
SR22-00502002,Pothole in Street Complaint,PHF,CDOT - Department of Transportation,Open,03/28/2022 1:14:45 PM,03/28/2022 1:14:46 PM,,2459 W CULLOM AVE,,,60618,2459,W,CULLOM,AVE,FALSE,FALSE,,,5,47,,J012,1,19,1911,21,,13,2,3,1158961.257,1928410.091,41.95929821,-87.69098652,"(41.95929820762541°, -87.69098652123607°)"
SR22-00502001,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,03/28/2022 1:14:40 PM,03/28/2022 1:14:40 PM,03/28/2022 1:14:40 PM,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,FALSE,FALSE,,,,,,,,,,,,13,2,3,,,,,
SR22-00501999,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,03/28/2022 1:14:34 PM,03/28/2022 1:14:35 PM,03/28/2022 1:14:35 PM,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,FALSE,FALSE,,,,,,,,,,,,13,2,3,,,,,
SR22-00501998,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,03/28/2022 1:14:32 PM,03/28/2022 1:14:33 PM,03/28/2022 1:14:33 PM,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,FALSE,FALSE,,,,,,,,,,,,13,2,3,,,,,
SR22-00501995,Garbage Cart Maintenance,SIE,Streets and Sanitation,Open,03/28/2022 1:14:09 PM,03/28/2022 1:14:11 PM,,1837 S WOOD ST,,,60608,1837,S,WOOD,ST,FALSE,FALSE,,,31,25,,L026,3,12,1234,19,,13,2,3,1164733.788,1891038.917,41.85662843,-87.67082544,"(41.85662843317971°, -87.67082544372938°)"
SR22-00501994,Alley Pothole Complaint,PHB,CDOT - Department of Transportation,Open,03/28/2022 1:14:05 PM,03/28/2022 1:14:06 PM,,2632 N WASHTENAW AVE,,,60647,2632,N,WASHTENAW,AVE,TRUE,FALSE,,SR22-00501919,22,32,,J016,1,14,1411,43,,13,2,3,1157830.817,1917639.084,41.92976504,-87.6954372,"(41.92976504323475°, -87.69543720305798°)"
SR22-00501993,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,03/28/2022 1:14:04 PM,03/28/2022 1:14:05 PM,03/28/2022 1:14:05 PM,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,FALSE,FALSE,,,,,,,,,,,,13,2,3,,,,,
SR22-00501992,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,03/28/2022 1:13:55 PM,03/28/2022 1:13:55 PM,03/28/2022 1:13:55 PM,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,FALSE,FALSE,,,,,,,,,,,,13,2,3,,,,,
SR22-00501991,Abandoned Vehicle Complaint,SKA,Streets and Sanitation,Open,03/28/2022 1:13:54 PM,03/28/2022 1:14:16 PM,,5555 W GRAND AVE,CHICAGO,IL,60639,5555,W,GRAND,AVE,FALSE,FALSE,,,,,,,,,,,,13,2,3,1138964.018,1913227.718,,,
